0
kalt duschen
abschlägig Bescheid
unproduktiv Tätigkeit
grün Licht
ablehnend Haltung
letal Entnahme
organisatorisch Trennung
faul Zauber
krumm Tour
mangelnd Sorgfalt
amourös Abenteuer
aggressiv Aktion
aggressiv Akt
feindselig Äußerung
verbal Attacke
böse Traum
schlecht Traum
schlimm Traum
böse Traum
schlecht Traum
schlimm Traum
strafrechtlich Verfolgung
unberechtigt Inanspruchnahme
stark Inanspruchnahme
ablehnend Haltung
übersteigert Selbstbewusstsein
Stück Scheiße
heilig Zorn
böse Blut
bürgerkriegsähnlich Zustand
allgemein Empörung
wüst Beschimpfung
wütend Protest
bürgerkriegsähnlich Zustand
schwarz Zahl
hitzig Debatte
unwichtig Sache
einfach Formel
Leere Gerede
nichtssagend Redensart
sinnentleert Chiffre
flott Sager
flott Spruch
Leere Stroh
in Konkurs
am Ende
ohne Geld
drohend Unheil
potentiell Schadeinwirkung
vorgefasst Meinung
mühsam Sache
böse Zunge
schwer Beleidigung
Genitale Verstümmelung
drückend Last
faul Zauber
krumm Tour
abgekartet Sache
Abgekartetes Spiel
schwarz Schaf
ausgebeult Stelle
maßlos Enttäuschung
vorübergehend Aufhebung
Flammendes Inferno
übel Subjekt
fies Finger
krumm Hund
Linke Bazille
mies Typ
mühsam Sache
drückend Last
chaotisch Zustand
kreativ Chaos
schwarz Freitag
schallend Ohrfeige
außer Betrieb
funktionieren nicht
laufen nicht
nicht funktionierend
gehen nicht
im Eimer
falsch Annahme
non sequitur
depressiv Episode
depressiv Erkrankung
depressiv Störung
schlecht Laune
uneingeschränkt Machthaber
misslich Lage
schwierig Situation
verzwickt Situation
gespielt Ernsthaftigkeit
gespielt Ernst
arm Irre
Dämlicher Hund
Dumme Nuss
dumm Schaf
en beschmieren
geistig Null
geistig Tiefflieger
Hein blöd
hohl Nuss
keine leuchten
Taube Nuss
trüben Tasse
ohne Plan
ohne Struktur
ohne System
wild durcheinander
unübersichtlich Situation
unsortierter kramen
wüst Haufen
kreativ Chaos
außer Fassung
erstaunt Auge
wie anstechen
in Unordnung
nicht aufräumen
arm Irre
Dämlicher Hund
Dumme Nuss
dumm Schaf
en beschmieren
geistig Null
geistig Tiefflieger
Hein blöd
hohl Nuss
keine leuchten
Taube Nuss
trüben Tasse
lang Gesicht
kalt duschen
schwarz Freitag
widerwärtig Person
übel Bursche
übel Patron
widerlich Typ
fies Möpp
fies Typ
schlimm Finger
heilig Zorn
böse Blut
es reichen
genug jetzt
genug damit
genug davon
halten ein
das reichen
es langen
es reichen
jetzt Reichtum
kein Kommentar
Thema durch
im Endstadium
Totenglöcklein läuten
Totenglöcklein läuten
lang Gesicht
kalt duschen
lang Gesicht
kalt duschen
schwer Beleidigung
lang Gesicht
kalt duschen
seelisch Schock
mangelnd Sorgfalt
die Karikatur
schlecht Scherz
unwürdig Schauspiel
nicht doch
weit fehlen
Gott behüten
sein nicht
kein Gedanke
keine Spur
nichts da
nix da
von wegen
falsch Fehler
Schlechte benehmen
Schlechte betragen
unzivilisiertes benehmen
unzivilisiert Verhalten
kein benehmen
keine Art
Flammendes Inferno
krumm Tour
keine Luftbewegung
Luft stehen
kein Hauch
kein Lüftchen
schlecht gehen
schlecht laufen
abschwächend Konjunktur
kontraktiv Phase
stark Konjunkturrückgang
schwächelnd Konjunktur
politisch Verfolgt
Schutz suchend
stark Stück
das Allerletzte
das letzter
dick Hund
eine   Frechheit
potemkinsch Dorf
faul Strick
übel Subjekt
fies Finger
krumm Hund
Linke Bazille
mies Typ
klein Fisch
gesundheitlich Beschwerde
gesundheitlich Einschränkung
gesundheitlich Problem
Fehlen lassen
vermissen lassen
Kranke an
drohend Unheil
potentiell Schadeinwirkung
tickend Zeitbombe
militärisch Konfrontation
drohend Unheil
potentiell Schadeinwirkung
schlecht Luft
schlecht Geruch
Strenger Geruch
übel Geruch
Musik dahinter
gesundheitsgefährdend Stoff
gefährlich Substanz
gefährlich Zeug
Gift enthalten
giftig machen
mangelnd Sorgfalt
schonungslos Härte
schonungslos Härte
handfest Auseinandersetzung
feindselig Einstellung
hektisch Gebaren
überstürzt Vorgehen
vorübergehend Aufhebung
schwierig Aufgabe
offen Gegnerschaft
kein Sonntagsspaziergang
kein Zuckerlecken
kein Zuckerschlecken
nicht ausreichend
hapern mit
nicht genug
unter sollen
zu wenig
Selbstgerechter Mensch
falsch Fuffziger
hart Nuss
ätzend Spott
beißend Spott
bissig Bemerkung
sarkastisch Bemerkung
spöttisch Bemerkung
Albtraum von
fragwürdig Produkt
